iso3,residence,var_long,term,estimate,std.error,statistic,p.value
AFG,rural,Improved,(Intercept),-3212.9998236340666,1011.2734566967973,-3.1771819999399002,0.015551528462256905
AFG,rural,Improved,year,1.6165082321593582,0.5027025751737431,3.215635471134525,0.014742363046120999
AFG,rural,Open defecation,(Intercept),1410.5440598817288,776.3339778173389,1.8169294404033043,0.11912599440451327
AFG,rural,Open defecation,year,-0.6906276873396877,0.38592232931480974,-1.7895509922057908,0.12372977605863932
AFG,rural,Septic,(Intercept),-140.88358265486585,292.4974098246012,-0.48165753925598176,0.6630013891272406
AFG,rural,Septic,year,0.07068566371681347,0.14513103321172932,0.4870472024662795,0.6595932850906412
AFG,rural,Sewer,(Intercept),-56.215601538461506,135.44999761867552,-0.4150284424273082,0.6994159005140562
AFG,rural,Sewer,year,0.0283830769230769,0.0672762491489845,0.4218885161124552,0.6947934726029521
AFG,rural,Shared,(Intercept),21.08525462798189,1666.7903674056695,0.012650213872306405,0.9905126558929991
AFG,rural,Shared,year,-0.0035500195345293467,0.8280807939064467,-0.00428704488819531,0.9967847286448164
AFG,urban,Improved,(Intercept),-4461.174694018308,766.474498174973,-5.820382419298572,6.49886054532485e-4
AFG,urban,Improved,year,2.252150985887311,0.38101336635110117,5.910950073630671,5.928957261034703e-4
AFG,urban,Open defecation,(Intercept),833.8185918956248,491.9382354321806,1.6949660177625618,0.14101615874101542
AFG,urban,Open defecation,year,-0.41344602691709187,0.2445467480771189,-1.6906625427164128,0.14185618505642275
AFG,urban,Septic,(Intercept),-560.9945510619962,2247.7276509962953,-0.24958297363710316,0.8190234157914387
AFG,urban,Septic,year,0.29182026548675016,1.115274957693757,0.2616576867198707,0.810521671928077
AFG,urban,Sewer,(Intercept),-146.31076346153904,587.0032659530568,-0.24925033973020458,0.8154429430462027
AFG,urban,Sewer,year,0.07685192307692336,0.29155687460920626,0.2635915314291021,0.8051167487033931
AFG,urban,Shared,(Intercept),1211.9644566317781,3295.690148878689,0.3677422336089852,0.7316976504928759
AFG,urban,Shared,year,-0.5882238450073943,1.6373371050859347,-0.35925640674741915,0.7375653623948193
AGO,rural,Improved,(Intercept),-2333.915941072371,165.11359887756373,-14.135213313368778,1.454080095248416e-4
AGO,rural,Improved,year,1.171735506862332,0.08215945126752579,14.261725081962304,1.4039793677142018e-4
AGO,rural,Open defecation,(Intercept),1339.4792604340994,1648.037832922538,0.812772154665128,0.4758572012900646
AGO,rural,Open defecation,year,-0.6363162455818859,0.8204066603849598,-0.7756107748848686,0.4945078814767171
AGO,rural,Septic,(Intercept),-3592.581467312057,1114.1569416426098,-3.2244842113674648,0.03214333452184043
AGO,rural,Septic,year,1.7938635898554482,0.5543972366512336,3.23570081389845,0.03180320305620136
AGO,rural,Sewer,(Intercept),-13.047113077782281,230.23627314133262,-0.05666836463155045,0.9583724897627302
AGO,rural,Sewer,year,0.007281631831564545,0.1146134925873624,0.06353206474372318,0.9533390891008313
AGO,rural,Shared,(Intercept),20.40486,NA,NA,NA
AGO,rural,Shared,year,NA,NA,NA,NA
AGO,urban,Improved,(Intercept),-2669.628436107883,991.3208401599845,-2.6930014259329447,0.05448814889774997
AGO,urban,Improved,year,1.3686803810872858,0.49327479269591656,2.774681377102155,0.05009032963378251
AGO,urban,Open defecation,(Intercept),2079.0260369261823,1287.795261194922,1.614407273868279,0.20484683560559977
AGO,urban,Open defecation,year,-1.0299221852486777,0.6410749731533391,-1.6065549715389218,0.206507186741523
AGO,urban,Septic,(Intercept),-8955.742900868334,2406.0020821370954,-3.7222506860482554,0.020434380463688246
AGO,urban,Septic,year,4.477420291625428,1.1972109636074877,3.7398757844096853,0.02012324158869684
AGO,urban,Sewer,(Intercept),444.9102632229211,1167.0240239447123,0.38123487956919616,0.7284263734994536
AGO,urban,Sewer,year,-0.2122664725218745,0.5809540672835395,-0.365375654420328,0.7390724197660488
AGO,urban,Shared,(Intercept),30.270050000000005,NA,NA,NA
AGO,urban,Shared,year,NA,NA,NA,NA
AIA,urban,Improved,(Intercept),-847.4002006689005,243.93427052697263,-3.473887448607598,0.07380762820608575
AIA,urban,Improved,year,0.4701839464882964,0.12161720253077309,3.8660973670178334,0.06086050846040947
AIA,urban,Open defecation,(Intercept),260.2189999999894,NA,NA,NA
AIA,urban,Open defecation,year,-0.12899999999999476,NA,NA,NA
AIA,urban,Septic,(Intercept),93.9,NA,NA,NA
AIA,urban,Septic,year,NA,NA,NA,NA
AIA,urban,Sewer,(Intercept),1.2,NA,NA,NA
AIA,urban,Sewer,year,NA,NA,NA,NA
AIA,urban,Shared,(Intercept),2.4,NA,NA,NA
AIA,urban,Shared,year,NA,NA,NA,NA
ALB,rural,Improved,(Intercept),-1459.1707566172288,527.7846798351458,-2.764708435782946,0.021942547691347583
ALB,rural,Improved,year,0.7725122187953106,0.26299487997716803,2.937366000670342,0.016557489038922173
ALB,rural,Open defecation,(Intercept),128.43972617656985,104.2157387771831,1.2324407779824742,0.3430051533975198
ALB,rural,Open defecation,year,-0.06361428237685769,0.051854840392822586,-1.2267761677589268,0.3447265483491161
ALB,rural,Septic,(Intercept),2243.1183579487943,998.3252099394944,2.2468814126057612,0.2665777380743994
ALB,rural,Septic,year,-1.1063005128205508,0.49643063192235853,-2.2285097689007545,0.2685246885114253
ALB,rural,Sewer,(Intercept),-705.1870619047143,2590.8441515919367,-0.2721842845975178,0.8308204709001411
ALB,rural,Sewer,year,0.37536309523807143,1.2902520717587906,0.290922296080021,0.8197678748895434
ALB,rural,Shared,(Intercept),159.66984657960614,311.60147139935356,0.5124168568991468,0.6985403700518666
ALB,rural,Shared,year,-0.07868867628102973,0.1549480207597813,-0.5078391830704452,0.7008528333228937
ALB,urban,Improved,(Intercept),13.716121651753616,51.48533057788673,0.26640834384862194,0.7959278344036973
ALB,urban,Improved,year,0.042611771115108596,0.025655118182182732,1.6609462023333075,0.1310922787848372
ALB,urban,Open defecation,(Intercept),49.81964169257745,30.723243519362303,1.6215619181347267,0.24635256520854437
ALB,urban,Open defecation,year,-0.024690321746115802,0.015287027734386272,-1.6151159123351355,0.2476512289059888
ALB,urban,Septic,(Intercept),175.0256289743752,507.1158325663192,0.3451393502913081,0.7884270111685503
ALB,urban,Septic,year,-0.08580025641026447,0.2521701653051399,-0.34024745277238244,0.7912139875597727
ALB,urban,Sewer,(Intercept),160.22781621489497,312.06702218554824,0.5134403984526984,0.6215188472512583
ALB,urban,Sewer,year,-0.03200121697567735,0.15551972943169842,-0.20576950006675346,0.8421107468318643
ALB,urban,Shared,(Intercept),195.63296673694546,48.643922769156646,4.02173499997803,0.1551484654797758
ALB,urban,Shared,year,-0.09660868207591587,0.024188844555912196,-3.993935380113183,0.15618569451737793
AND,rural,Improved,(Intercept),100.00000000000684,3.912666126237025e-12,25558020228058.926,4.132827867112788e-143
AND,rural,Improved,year,-3.378327385307355e-15,1.950478225318007e-15,-1.73205080756877,0.11117295276907672
AND,rural,Sewer,(Intercept),100.00000000000684,3.912666126237025e-12,25558020228058.926,4.132827867112788e-143
AND,rural,Sewer,year,-3.378327385307355e-15,1.950478225318007e-15,-1.73205080756877,0.11117295276907672
AND,urban,Improved,(Intercept),100.00000000000684,3.912666126237025e-12,25558020228058.926,4.132827867112788e-143
AND,urban,Improved,year,-3.378327385307355e-15,1.950478225318007e-15,-1.73205080756877,0.11117295276907672
AND,urban,Sewer,(Intercept),100.00000000000684,3.912666126237025e-12,25558020228058.926,4.132827867112788e-143
AND,urban,Sewer,year,-3.378327385307355e-15,1.950478225318007e-15,-1.73205080756877,0.11117295276907672
ARG,rural,Improved,(Intercept),-1248.6540455898921,849.1058863567353,-1.4705516304303354,0.38018183661900906
ARG,rural,Improved,year,0.6605807289543327,0.4234230993552616,1.5600961070857648,0.3628812119161468
ARG,rural,Open defecation,(Intercept),7.688740740070118,NA,NA,NA
ARG,rural,Open defecation,year,NA,NA,NA,NA
ARG,rural,Septic,(Intercept),-2142.221870073283,2111.1936941863355,-1.014696982078144,0.49535601457400963
ARG,rural,Septic,year,1.083219369122008,1.0527876342575442,1.0289058627535317,0.4909306788510039
ARG,rural,Sewer,(Intercept),-577.7608459684179,269.35962008135266,-2.144942310929608,0.27772828029751506
ARG,rural,Sewer,year,0.2895334914704932,0.13432139266560794,2.1555277660892376,0.2765299300144451
ARG,rural,Shared,(Intercept),117.98017238105463,726.7714459437757,0.16233462808634033,0.8975482816147164
ARG,rural,Shared,year,-0.05637668777433702,0.36241866074537016,-0.1555568017893715,0.9017568413651318
ARG,urban,Improved,(Intercept),-669.867445051438,236.24721206514928,-2.8354512173744104,0.03644057166445371
ARG,urban,Improved,year,0.38145623500184506,0.11755225475622781,3.2449929250007505,0.022822354553614827
ARG,urban,Open defecation,(Intercept),22.614776785702503,228.81909415389745,0.09883255970977851,0.9260260357215946
ARG,urban,Open defecation,year,-0.010637217420441589,0.11377408490170743,-0.09349420326809374,0.9300067502853635
ARG,urban,Septic,(Intercept),442.71790858335976,278.96523811370247,1.5870002713489124,0.17337414858184708
ARG,urban,Septic,year,-0.20801140358764006,0.13880795651391842,-1.4985553336546853,0.19426377503427225
ARG,urban,Sewer,(Intercept),-1812.8358285942688,322.2443762693721,-5.625655440698441,0.0024581526673462845
ARG,urban,Sewer,year,0.930161131201504,0.16034285730547684,5.801076186570691,0.002145656484266799
ARG,urban,Shared,(Intercept),303.8664932081011,154.73781990164852,1.9637506422233353,0.10677425908168174
ARG,urban,Shared,year,-0.14975808531166807,0.07699468479012458,-1.9450444627429164,0.10936195120187982
ARM,rural,Improved,(Intercept),-153.00802649397946,183.9348017906932,-0.8318601211101607,0.4170204097688692
ARM,rural,Improved,year,0.11716597852830059,0.0915550613266024,1.2797324017984861,0.217829051846148
ARM,rural,Open defecation,(Intercept),1.1379120879131697,21.045104414483436,0.054070156436479735,0.9656113559017874
ARM,rural,Open defecation,year,-5.494505494510874e-4,0.010468438946845605,-0.05248638810819546,0.96661676001238
ARM,rural,Septic,(Intercept),-993.9036711539351,332.36437742223507,-2.990403721549502,0.2054454464100837
